,SNO,INSERT_TS,SECTOR,STOCK_SYMBOL,STOCK_NAME,MARKET_CAP_CR,DIV_YIELD,DEBT,ICR,PROMOTER_HOLDING,PRICE_BOOK,PLEDGED_HOLDING,RATING,VALUATION_RATING,OWNERSHIP_RATING,EFFICIENCY_RATING,FINANCIAL_RATING,_52_W_HIGH,_52_W_LOW,LTP,SG_1_YR,SG_3_YR,SG_5_YR,PG_1_YR,PG_3_YR,PG_5_YR,ROE_1_YR,ROE_3_YR,ROE_5_YR,ROCE_1_YR,ROCE_3_YR,ROCE_5_YR,CASH_FLOW_TREND,LATEST_CASH_FLOW,CASH_FLOW_MINUS_1,CASH_FLOW_MINUS_2,CASH_FLOW_MINUS_3,CASH_FLOW_MINUS_4,NET_PROFIT_TREND,LATEST_NET_PROFIT,NET_PROFIT_MINUS_1,NET_PROFIT_MINUS_2,NET_PROFIT_MINUS_3,NET_PROFIT_MINUS_4,PEG_RATIO,URL
3,1,2022-02-07 04:59:10.310567+05:30, Diversified ,3MINDIA,3M India Ltd.,27874.63,0.0,0.0,84.2336156566072,0.0,11.71,0.0,3.0,0.0,3.8,3.1,2.5,31000.0,20381.55,24744.3,-12.46,-1.8,-1.8,-31.82,-21.66,-5.18,6.95,12.37,12.37,9.54,18.37,24.59,going_down,312.05,218.33,267.32,29.42,364.93,going_down,149.3,218.97,322.99,310.54,240.76,0.0,https://ticker.finology.in/company/3MINDIA
6,2,2022-02-07 04:59:10.310567+05:30, IT-Software ,63MOONS,63 Moons Technologies Ltd.,1355.17,0.67,0.0,-127.297207761477,0.0,0.52,0.0,2.0,2.5,3.0,0.0,1.0,372.6,68.9,294.1,3.85,-14.02,-14.02,52.15,-251.22,-195.65,-2.1,-2.11,-2.11,-2.0,-1.83,0.05,going_down,-7.61,-79.41,-107.19,-5.1,-80.65,going_down,-56.63,-118.34,0.09,16.38,49.08,0.0,https://ticker.finology.in/company/63MOONS
5,3,2022-02-07 04:59:10.310567+05:30, Finance-StockBroking ,5PAISA,5Paisa Capital Ltd.,1166.48,0.0,0.0,9.00409135097761,0.0,3.14,0.0,2.0,0.0,2.2,0.0,5.0,580.0,235.65,396.55,77.96,113.91,113.91,319.38,38.98,38.79,11.96,-10.79,-10.79,11.72,-0.97,-14.21,na,0.0,0.0,0.0,0.0,0.0,going_down,6.79,-3.1,-9.03,-12.07,0.0,0.22,https://ticker.finology.in/company/5PAISA
8,4,2022-02-07 04:59:10.310567+05:30, OilExploration ,AAKASH,Aakash Exploration Services Ltd.,340.2,0.0,18.17,3.9842740755433,0.0,7.45,0.0,3.0,0.0,2.5,2.5,3.0,31.05,10.05,33.6,-11.42,13.43,13.43,-14.59,20.99,56.31,10.49,12.35,12.35,12.28,13.29,12.52,going_down,14.03,17.88,14.42,-0.09,5.38,going_down,4.14,4.84,3.31,2.34,1.09,0.4381,https://ticker.finology.in/company/AAKASH
0,5,2022-02-07 04:59:10.310567+05:30, Mining&Minerals ,20MICRONS,20 Microns Ltd.,311.05,0.0,88.37,1.88402411678857,0.0,1.41,53.74,3.0,2.7,1.6,3.1,2.1,108.25,28.2,88.15,-11.77,3.93,3.93,-10.07,12.24,19.17,12.05,14.21,14.21,15.47,18.88,18.18,going_down,56.46,40.26,45.52,49.86,52.96,going_down,22.45,24.97,21.71,15.88,13.16,0.4438,https://ticker.finology.in/company/20MICRONS
7,6,2022-02-07 04:59:10.310567+05:30, Engineering-Construction ,A2ZINFRA,A2Z Infra Engineering Ltd.,201.66,0.0,440.33,-0.71950318857176,0.0,1.85,99.98,2.0,4.2,1.0,0.0,1.0,14.1,3.6,11.45,-51.24,-19.31,-19.31,71.42,8.45,-158.37,-26.7,-26.71,-26.71,-4.74,-7.38,-3.73,going_down,-19.82,-43.94,118.39,9.26,51.28,going_down,-83.14,-290.89,32.12,-114.77,-139.19,1.6239,https://ticker.finology.in/company/A2ZINFRA
9,7,2022-02-07 04:59:10.310567+05:30, Trading ,AAREYDRUGS,Aarey Drugs & Pharmaceuticals Ltd.,134.92,0.0,18.02,4.3974830471259,0.0,1.2,0.0,3.0,3.1,2.1,1.5,2.3,64.35,31.15,53.15,16.1,-0.02,-0.02,12.44,1.78,38.26,6.98,7.23,7.23,9.46,10.0,13.27,going_down,5.48,2.86,0.69,-20.35,0.62,going_down,6.51,5.79,6.54,6.18,5.47,0.1866,https://ticker.finology.in/company/AAREYDRUGS
1,8,2022-02-07 04:59:10.310567+05:30, Finance-Investment ,21STCENMGM,21st Century Management Services Ltd.,43.31,0.0,0.0,0.0,0.0,0.97,0.0,0.0,0.0,0.0,0.0,0.0,64.0,11.15,41.25,0.0,-100.0,-100.0,69.16,-186.33,-266.47,-6.92,-6.06,-6.06,-6.9,-5.36,-0.81,na,0.0,0.0,0.0,0.0,0.0,going_down,-3.48,-11.29,5.25,5.41,-0.37,0.0,https://ticker.finology.in/company/21STCENMGM
4,9,2022-02-07 04:59:10.310567+05:30, Finance-Investment ,3PLAND,3P Land Holdings Ltd.,36.99,0.0,0.0,45.4235118412631,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,26.3,7.65,20.55,-23.83,111.79,111.79,-85.58,167.85,21.75,1.63,4.73,4.73,2.21,6.02,4.88,na,0.0,0.0,0.0,0.0,0.0,going_down,0.35,2.46,-0.11,-0.02,-0.07,0.0,https://ticker.finology.in/company/3PLAND
2,10,2022-02-07 04:59:10.310567+05:30, IT-Software ,3IINFOLTD,3I Infotech Ltd.,,0.0,,0.0,0.0,,0.0,,,,,,119.3,6.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,na,0.0,0.0,0.0,0.0,0.0,na,0.0,0.0,0.0,0.0,0.0,,https://ticker.finology.in/company/3IINFOLTD
